id,accommodates,bedrooms,beds,description,number_of_reviews,num_host_response_rate,num_price,cat_price
47955200,3,1.0,2.0,<b>License number</b><br />Exempt - This listing is a bed and breakfast,0,80.0,60.0,low
45754920,1,1.0,1.0,"This hilltop chalet is in a quiet, rural, safe neighborhood (I have known my neighbors for almost 20 years.)  <br />There's an organic farmers' market and a Trader Joe's in South Pasadena (10 minutes' drive) and a Whole Foods in Pasadena (10/15 minutes' drive.) There's a Ralph's (the equivalent of Kroger's) 10 minutes away.<br />Due to the Delta variant, masks are required in California stores.<br />The house is not accessible for disabled persons as the driveway is steep and uneven.<br /><br /><b>The space</b><br />The house is airy and bright with many windows around it. It's surrounded by vegetation and is quite private. The guest has immediate access to the room via the front door.<br />The house has a superb view from a large patio and a gazebo under pepper trees and jacaranda trees. It's on a dead-end street so no traffic and no noise from cars! You hardly see the neighbors at all. And it's super quiet at night--except for the occasional owl hoot or coyotes howling up the hill. :",9,100.0,70.0,low
19651936,6,1.0,4.0,"Hollywood Hills Central Location. Walk to Hollywood, Restaurants, Shopping. 10 Min to Universal, Beverly Hills, Downtown.  30 min to beach, Disney, Mountains. 2 Hours to Santa Barbara, San Diego, Palm Springs.  This Guest House is for families of 2-3 Adults and 2-4 Children. (4+ Adults are not permitted).<br /><br /><b>The space</b><br />Our Private Guest House is used by Entertainment Industry friends, and we also have limited availability for families to take advantage of a great experience and location to base their Southern California visit.  We may charge xtra for weekends in high seasons, due to demand.  There is an extra king size air mattress, if needed.<br /><br /><b>Guest access</b><br />Guests are welcome to use both decks adjacent to Guest House, and may also request access to bar area, grill, outside patios and pool / spa during their stay.<br /><br /><b>Other things to note</b><br />Stair access only.  This is not wheelchair easy access, or health-problem easy access, so ",86,33.0,120.0,low
7787945,2,1.0,2.0,"It's a private guest suite located in a residential single family home community where you'll  hear quiet nights and the morning birds sing. It's centrally located and approx. 30-45 mins. by car in any direction to tourist attractions.  If you're looking for a convenient, cozy and clean homeshare this is the place! Smoking is allowed only outside, there's ample street parking and host and guest share backyard patio.<br /><br /><b>The space</b><br />This private and historic 1920's California bungalow style guest suite is cozy with (2) twin beds or (1) queen bed (please request at time of booking), bathroom w/tub & shower, dining table area, cooking utensils, dishes, microwave, toaster oven, hot plate, coffeemaker, refrigerator, stero system with input jack to play music from smartphone, flat screen TV, hair blow dryer, iron & board, air conditioner, heater, sanitized bed linen and towels for every guest and free street parking.<br /><br /><b>Guest access</b><br />Guests are welcome to ",94,100.0,75.0,low
49359013,2,1.0,1.0,"Feel at home wherever you choose to live with Blueground. You’ll love this bright Playa Del Rey furnished one-bedroom apartment with its modern decor, fully equipped kitchen, and lovely living room. Ideally located, you’re close to all the best that Los Angeles has to offer! (#LAX426)<br /><br /><b>The space</b><br />Thoughtfully designed with bespoke finishes, modern furnishings, and a fully-equipped kitchen, you’ll enjoy that “I’m home” feeling with this Blueground apartment. Whether you’re lounging in your lovely living room streaming the latest and greatest entertainment on the smart TV or premium wireless speaker, or getting some well-earned rest on the superior quality mattress with luxury linens, you’ll fall in love with everything this Playa Del Rey apartment has to offer. <br /><br /><br />Amenities<br /><br />Building amenities unique to this one-bedroom apartment include an on-site:<br />  <br />- In-Building Laundry<br />- Pet Friendly<br />- Swimming Pool<br />- Gym<br />-",0,100.0,166.0,high
49147041,10,3.0,0.0,"Located in the best place to live in California, our place is right next door to Magic Mountain - only 8 minute driving. It was designed beautifully for family or friends. A perfect place to get away from all the hustle and bustle of LA while still have access to all LA attractions. The city is very walkable with multiple hiking trails. It also has  Valencia town center with plenty of options for shopping and dining.<br /><br /><b>The space</b><br />Welcome to one of the safest and the most beautiful city in Los Angeles, our mini resort retreat next to Magic Moutain<br /><br />The space<br />- Free driveway and garage parking up to 3,4 vehicles<br />-  Free WiFi<br />- Keyless Entry<br />- Secure camera and Ring door camera 24/7<br />- California king bed + 1 queen bed + 2 full beds + 1 extra full mattress + comfortable living couch <br />- 65'' inches 4k HDTVs w/Disney Plus and YouTube TV for Sports, News, Movies, Local and Network Channels apps ( please bring your account, we don't p",11,100.0,361.0,high
20168569,2,1.0,1.0,"Beautiful welcoming space for all Airbnb guests, short or long term.  My space gives a very welcome feeling!  The space is extremely clean and I keep the space clean everyday by sanitizing all common areas so that each guest may enter into a newly refreshed space.<br /><br />This bright relaxing room is one of my home's most treasured spaces!  Guests and family alike love the feeling they receive once they enter the room, and sleep like a baby once they lie down in the comfy Queen Sized bed!<br /><br /><b>The space</b><br />I assure that guests will be quite pleased at the quality and cleanliness of the space + the additional amenities they receive here.<br /><br /><b>Guest access</b><br />Guests may access all of the common areas, kitchen/living room/bathroom.<br /><br />There’s no cooking for guests who are short term visitors (7) days or less.<br /><br />Kitchen shelving space and items are all marked for Airbnb guests use.<br /><br /><b>Other things to note</b><br />I provide a ful",72,50.0,54.0,low
50958607,2,1.0,1.0,"Located only 1.5 miles away from LAX this modern newly renovated triplex is located in one of LA's BEST hidden gems, El Segundo.  Centrally located, you are walking distance to many delicious eateries, breweries, fast food, grocery stores, and just a short ride to the rest of what the Southbay has to offer.<br />The apartment is the only upstairs unit (you do have to climb 1 flight of stairs) and is very bright and airy.  In this shared space (only w/myself) you have your own room & full bathroom.<br /><br /><b>The space</b><br />The apartment is a cozy quaint bright space.  It’s a mixture of mid century modern with rustic touches.  I hand built a lot of the art work myself, and hope you enjoy it too!  You'll be sharing the space with only me and the occasional friend I might have over.<br /><br /><b>Guest access</b><br />Guests are free to use the living room common space, and we have a community patio outside next to the garage.<br /><br /><b>Other things to note</b><br />Before requ",5,100.0,75.0,low
21124710,1,1.0,1.0,"Newly Renovated Home!  <br /><br />A private guest bedroom with private entrance and private bathroom in the hallway is available in a quiet 3 bedrooms townhouse in a very peaceful community on the hill in Walnut, CA. This house is freshly remodeled with updated bathrooms, furniture and kitchen.  The room has a queen size futon bed. Linens, blankets, towels, and toiletries are provided. Flatscreen TV with Netflix streaming is available in room.",0,100.0,100.0,low
51907583,8,3.0,5.0,"This killer 1100 Sq. Ft. Loft has 14 Ft. High Ceilings, 3 Individual Bedrooms come with Doors & Locks, Queen Sized Beds, Full Closets, Desks & Chairs. One suite has an attached full bathroom that can be private or shared, along with a 2nd full bathroom; double wide tub/shower. The living room has a make up area, cool red daybed & 2 dinning tables, Plus a private double bedroom with another full sized closet . Sleeps up to 3 couples plus two young or older children. Includes rooftop pool/jacuzzi!<br /><br /><b>The space</b><br />Check the reviews for this place under the individual room names. You will see the same pictures of the bedrooms in this listing. After over 900 reviews we rated 4.8 our of 5 stars. Starting November 1st we are transitioning this place from rooms to an entire place!<br /><br />This is an ultimate loft for a large family reunion, or a base for longer staffing for productions and the like!<br /><br />Upon request, we can add a couple more chairs for each dinning t",0,100.0,188.0,high
26016012,2,1.0,1.0,蒙特利公园时代广场高级豪华公寓(整套豪华大套房)，一所迷人而又典雅的住宅。拥有宽敞明亮的大客厅，复古三角大钢琴，整个空间具有浓浓的艺术气息，时尚而又雅致。全新高端家具和床上用品，整洁、舒适而又干净，即可拎包入住。房屋内有洗衣机、烘干机；厨房内装有纯净虑水设备，可直接饮用，方便卫生健康。本公寓坐落在著名的华人社区，生活出行非常方便。休闲、购物、娱乐、电影院、健身、游泳、美食、医院、华人超市、西人超市等均在几分钟的步行路程。非常适合商务、度假、待产的客人。欢迎爱干净、无不良嗜好者、不抽烟、不携宠物的租客。公寓还提供24小时安全保卫。<br /><br /><br />在疫情期间，我们将特别安排出可以“自由出入、干净卫生”的住房。<br />房源基础要求为：保证房客可正常出入小区；支持自助入住；房源整洁度评分 ≥ 4.8 分；每次清洁都会使用专业医院级别的紫外线消毒；并且所有家具及把手都进行严格的消毒杀菌处理；床上用品和浴巾都会用消毒水杀菌及高温清洗并烘干，严格保证物品的安全性。<br /><br />我们希望房客能感觉如同在家里一样舒适自在，但同时又能感觉自己已远离固有的生活，在这里彻底地放松身心——就如同身处一个处处为客人着想的精品酒店里一样。<br /><br />我们还尽力确保随时供应新鲜的绿植和鲜花，让宾客能够爱上这里并能宾至而归。<br /><br />如果有机会接待某位房客，我会为他们详尽地介绍房间、周边的环境以及在本地区游览的建议。<br />House Rules and Pool Guidelines<br /><br />This is a drug free environment and no smoking or marijuana or vaping allowed anywhere on premise. <br />No partying allowed. <br />Noise curfew starts at 10pm.<br /><br />Pool guidelines during Covid<br />	•	Advance reservation is required<br />	•	Only guests staying in premise is allowed and no outside guests.<br />	,20,100.0,355.0,high
22409848,2,1.0,1.0,"You will LOVE… <br /><br />*PRIVATE patio and GARAGE parking <br />*WALKING DISTANCE to Trader Joe’s, multiple restaurants, coffee shops, breweries and more<br />*EASY ACCESS to all major freeways<br /><br />2nd BED/BATH IS A SEPARATE LISTING LOCKED OFF/NO ACCESS/NO SHARED SPACES <br /><br />Hospitals nearby: Long Beach Memorial Medical Ctr, Lakewood Regional, St Mary Medical Ctr, Kaiser Downey & South Bay<br /><br />NOTE: garage will fit a small to midsize car or small SUV<br /><br />Reg #. NRP21-00123, Exp 3/25/2022<br /><br /><b>The space</b><br />Comfortable private room and full bathroom with tub and shower. Patio, living room and kitchen/dining with coffee maker and basic cooking/eating essentials.  A comfortable outdoor patio is included and a 1 car garage for a small to midsize vehicle<br /><br />PLEASE NOTE, this apartment is originally 2 bed, 2 bath, however, the 2nd bedroom and bathroom has a separate entrance and is booked separately with no access to your space, NO SHARED ",8,100.0,99.0,low
24635100,1,1.0,1.0,"Whether you're here on business, school, or just passing through; feel the warmth of hospitality at this spacious and comfortable home. The house is located in a quiet and safe residential area, this charming quiet room is centrally located with quick access to shopping, local golf course and Hwy 14.<br /><br /><b>The space</b><br />Experience the comfort and privacy of this room that is located on the second floor of the house, with the bathroom conveniently located right across the hall. The room with a queen-sized bed fits two persons comfortably. <br />***The bathroom is only shared when another Airbnb guest is occupying the other room. ***<br /><br /><b>Guest access</b><br />Guests have full access to common areas (kitchen, laundry, backyard, and loft).<br /><br /><b>Other things to note</b><br />Long term guests are welcome! You can pay on a monthly basis and receive the listed discount. I also close my calendar for the length of time you'll be staying. You'll have use of the kit",9,100.0,31.0,low
921738,2,1.0,2.0,"Soak up the sun & LA lifestyle on comfy King+Queen beds in this spacious mid century Modern 1 bedroom well appointed, stylish Apartment featuring bamboo floors, unique art throughout, balcony. Lush common gardens, Deck, BBQ, lounge chairs. Chill to a cool vibe.",118,100.0,117.0,low
21517588,2,1.0,1.0,"Location, location, location! Moments from the infamous Chateau Marmont winding through one of the most exclusive celebrity enclaves in L.A. Entrenched in the true Hollywood Hills yet only 2 min walk to the life of Sunset Blvd. This studio/guesthouse is delivered turnkey. Elegant & comfortable. Outfitted with custom furniture, luxury sheets and mattress, flat screen TV for internet streaming , AC/Heat, mini refrigerator, microwave, coffee maker. Flexible terms for long term rental.<br /><br /><b>The space</b><br />This is a private STUDIO guest house with it's own entry gate. <br />This is a studio unit. One room with queen bed and amenities plus a large bathroom with shower and toilet.  Perfect for one person or a couple that does not need privacy from each other.<br />There is NO kitchen or room for cooking,  although there is a microwave, coffee maker, mini fridge. <br />HOUSE RULES: By booking this property you are agreeing to these House Rules:<br />Two (2) Adult ( 21 years of age",74,80.0,90.0,low
45827760,2,1.0,1.0,"Perfect for someone who wants to explore new horizons or just needs a weekend away.<br /><br />Descend into a shared garden with a deck and terrace overlooking Silver Lake Blvd in Los Angeles. Lamill Coffee and local restaurants are a 5 minute walk. Explore the nightlife and shopping on Sunset Blvd 15 minutes away by foot.<br /><br />Or enjoy a quiet, cozy night inside. This suite has a private entrance, a fully-equipped kitchen, & high-speed wifi. <br /><br />Silver Lake Reservoir is 7 minutes away. LAX is 30 minutes away.<br /><br /><b>The space</b><br />The guest suite is on its own floor of the house so it is private. The deck and garden are shared between the main house and the guest suite.<br /><br />There is a 400 MBs per second internet connection to the house. The guest suite has a strong WiFi connection. You should have no trouble working here on video conferencing software such as Zoom or Google Meet. We regularly have four adults working remotely without a problem.<br /><br",41,100.0,137.0,low
51817165,4,1.0,2.0,"Ready to enrich your life and take your Los Angeles experience to the next level? One Lux @The Mansfield at Miracle Mile is the place for you. Our brand-new, luxury aparthotel and community are nestled right in the middle of the action, on Wilshire Boulevard, and has everything you need to complement your vacation, business trip or lifestyle relocation. Art Deco Inspired Luxury, amazing amenities and stunning views of the city and hills from all of our apartments.<br /><br /><b>The space</b><br />Inside our gorgeous apartments, you’ll find all the lavish features you expect from a One Lux Stay. Starting from the elegant flooring and extra-large windows to the spacious walk-in closets, luxury lighted LED vanity mirrors, and private balconies with stunning views of Downtown LA or the Hollywood skyline, every detail is perfected with you in mind. <br /><br />Fully equipped kitchens with stainless-steel Frigidaire appliances and beautiful backsplashes make cooking a pleasure. Nest Thermost",0,95.0,207.0,high
51537433,1,1.0,1.0,"Small capsule room available in LA for rest.<br />the design of this room inspired by Japanese capsule hotel, the room is small and private with lock of the door (Only bed). our location close by public transportation and supermarket. you will receive the same as you see in the pictures.<br />For any question feel free to write me<br /><br /><b>License number</b><br />Exempt - This listing is a transient occupancy residential structure",0,85.0,27.0,low
1393501,3,2.0,0.0,"This mission style, charming apartment is one of seven in the building. Beautifully decorated and perfect for a getaway from colder, cloudier climates. With a beautifully landscaped  communal space  just steps away, you can enjoy time in the Southern California sun.<br /><br /><b>The space</b><br />Brief description <br />2-room bright apartment including a cozy bathroom with bathtub for bubble baths. Plus, a fully-stocked kitchen with everything you need to cook while you stay. Wusthof knives, All-Clad cookware. Street parking is ample.<br /><br />Sleeping arrangement <br />One bedroom features a Queen size bed. The second bedroom features a twin bed. Both mattresses are organic.<br /><br />The apartment is well illuminated with windows. The interior decoration is personal and trendy with bookshelves. There is WiFi internet and an entertainment system featuring a flat screen TV with Apple TV connected.<br /><br /><b>Guest access</b><br />Laundry is shared with other tenants.",1,70.0,175.0,high
34508181,4,1.0,4.0,"Shared room for 4 guys in it. 2 bunk-beds. Located near University of Southern California. Close to Downtown LA, steps away from Exposition Park. You can book ONE bed only. Please ask for availability BEFORE booking more than one bed.<br />- 2 min to grocery store<br />- 12 min to Little Tokyo<br />- 20 min to Hollywood Walk of Fame<br />- 25 min to LAX Airport<br />We provide:<br />- Furnished house<br />- Large co-working area<br />- Free WiFi<br />- Bedding and towel for your use<br />- Equipped kitchen<br />- Free washer and dryer<br />Welcome",5,95.0,24.0,low
49552518,4,2.0,2.0,"Wake up to warm California sunshine in this thoughtfully designed contemporary modern 2-bedroom located in Chinatown. Less than 10-min away from Downtown LA,  you'll have quick access to Dodger Stadium, The Broad, Staples Center and more. <br /><br />The whole place is yours so live like a local, just don't forget to water the plants! There is onsite parking (a must) and casual dining options within walking distance (ask me for recs!).<br /><br />This space is non-smoking and carries a $150 penalty for lighting up.<br /><br /><b>The space</b><br />The apartment is located on the second floor of a pre 1930's building on the East end of LA's Historic Chinatown, nestled between Dodger Stadium and the beautiful Los Angeles State Historic Park. There are two sets of stairs to get to the apartment so please plan accordingly.<br /><br /><b>Guest access</b><br />You’ll have access to the whole apartment—it’s all yours!<br /><br /><b>Other things to note</b><br />I like to remind guests that yo",1,100.0,111.0,low
14762414,1,1.0,2.0,"This quirky room is newly renovated. Its fun decor makes it a lively place to live. There is an adorable reading nook; HD TV; a fold-out bed/futon; another twin bed; and plenty of storage.<br /><br />Right outside the door is an amazing view of the San Fernando Valley and nearby are a park with a hike trail, many shopping destinations, gym, restaurants, and more. You also have free parking on the street; a shared full kitchen, dining room, and washer and dryer.<br /><br /><b>License number</b><br />HSR20-000670",14,100.0,63.0,low
48849895,3,1.0,1.0,"This blacked out suite is designed to be a hideaway in the middle of Downtown LA’s South Park district, with expansive views, full kitchen, dinning area and your own personal basketball arcade game 🏀<br /><br /><b>The space</b><br />The space<br />Occupancy<br />-3 Adults<br /><br />Bed<br />-King-size bed <br /><br />View<br />-Downtown LA, Panoramic<br /><br />Floors<br />-1 - 10<br /><br />Bathroom<br />-Modern tile bathrooms featuring a large bathtub/shower<br />-Lighted shaving/make-up mirror<br /><br />Size<br />-762 SQ FT <br /><br />Bed & Bath<br />-Plush waffle cloth signature robes for guests<br />-Luxurious bath amenities<br />-Lighted shaving and make-up mirror<br /><br />Room Features<br />-In-room work desk<br />-Cal King bed and luxurious all-white linens<br />-Separate living and sitting areas<br />-Large dual pain windows overlooking Downtown skyline<br /><br />Entertainment<br />-50” Smart 4K LED TV<br />-Echo Dot Speaker w/ Alexa<br />-Free High Speed WiFi <br />-Mul",5,100.0,213.0,high
17946227,2,2.0,2.0,"*AVAILABLE starting DEC 21st, 2021 for 60 NIGHT MINIMUM STAY*  BRAND NEW 2 BEDROOM + 1 BATH in Mid-City L.A. Central Location near several large hospitals. Modern 4-Unit Building wrapped in an 8-Foot Tall Privacy Fence. A+ Comfort & Privacy, RESERVED PARKING, WASHER & DRYER INSIDE, Fast Wi-Fi, Cold A/C, NEW Kitchen & Bathroom, 3 Wall-Mounted Smart TV's, Hardwood & Tile Flooring, New Windows, Recessed LED Lighting, Mirrored Closet Doors, Great Closet Space, New Stainless Steel Appliances!<br /><br /><b>The space</b><br />Each of the 2 Bedrooms have 1 Super Comfy Queen Bed + a Wall Mounted Smart T.V. Comfortable Couch in the Living Room + 55"" Wall Mounted Smart TV. The kitchen & bathroom are fully stocked with everything you will need. Everything from a blender, toaster, dishwasher, ice-maker, pizza cutter, glassware, silverware, shampoo, soap, detergent, etc. are all included!<br /><br /><b>Guest access</b><br />The entire apartment is entirely yours.<br /><br /><b>Other things to note<",23,90.0,99.0,low
49615643,8,4.0,4.0,"Newly furnished gated home with a gorgeous pool and serene views! This 4 BR/2.5 BA property is ready to welcome guests. Fully equipped kitchen, spacious living room with a fireplace, dining area for six and a breakfast area for four. Bedrooms feature queen beds and twin beds. Enjoy the pool & lounge area, perfect for hot summer night and cozy evenings.<br /><br /><b>The space</b><br />Driveway parking only.<br /><br /><b>Guest access</b><br />We would love to accommodate your needs and answer any questions throughout your stay.      <br />                   <br />Guest can reach us via email or phone at any time. We also have a full concierge service if needed, available upon request.<br /><br /><b>Other things to note</b><br />Bookings of over 30 days are subject to an additional cleaning fee.<br />Posted check out times are always flexible and are mostly dependent upon when prior or future guests that are leaving or arriving. We will always try to accommodate your schedule, but we ca",9,100.0,764.0,high
33110994,1,1.0,2.0,"!!!!!!APARTMENT!!!!!!!<br />IDEAL FOR an actor/dancer/artist/students! LA<br />DORM STYLE, SHARED LIVING IN HEART OF HOLLYWOOD<br /><br />House in Hollywood district<br /><br />Check out our WEBSITE: www.dorm-la.com<br /><br />MONTH TO MONTH Rent!<br /><br />No Credit check<br />$575 per month, per person, NO additional fees.<br /><br /><br />Check out our WEBSITE: www.dorm-la.com<br />Please email us at Gymarto@man.com<br />Or call 1 (323) 364-6242 My place is good for solo adventurers, business travelers, and big groups.<br /><br /><b>The space</b><br />!!!!!!APARTMENT!!!!!!!<br />IDEAL FOR an actor/dancer/artist/students! LA<br />DORM STYLE, SHARED LIVING IN HEART OF HOLLYWOOD<br /><br />House in Hollywood district<br /><br />Check out our WEBSITE: www.dorm-la.com<br /><br />MONTH TO MONTH Rent!<br /><br />No Credit check<br />$575 per month, per person, NO additional fees.<br /><br /><br />Included, Free Paper towels and toilet paper.<br />Tenant provided with a mattress, sheets, b",2,81.0,18.0,low
51294286,1,1.0,1.0,"New property with twelve 5b5b units! This property is charming, modern and set up like townhouse apartments. Not mentioned extremely clean and safe. If you are looking to move-in with a group of friends, then this property is perfect for you! Individual private rooms can also be rented, and range from $1000-$1100. <br /> <br />1419 New Hampshire is located near hot restaurants such as both Leo's Food Trucks and Dino's Chicken and Burgers. There are also multiple Metro Bus stops right down the street, for commuting convenience, as well as a well established grocery chain, Hanam Groceries, about a 10mins walk down the street, 4 mins driving.<br /><br />How to make an inquiry: select desired check-in and check-out date, the number of guests, scroll at the bottom of the page and click on Contact host. <br /> <br />As part of the booking process, the Tenant agrees that the Service Provider may undertake screening checks with World-Check Screening to ascertain if the tenant name appears on a",0,89.0,64.0,low
38234997,1,1.0,1.0,"Centrally located in the most prestigious area of West Hollywood across the street from Beverly Hills, this charming house was formerly owned by country singer and American icon Dolly Parton.<br />The private (extremely quiet) Bedroom and Bathroom you are staying was recently remodeled. You have access and share our fully equipped kitchen, living room, dining room, and a charming sitting area on the front porch surrounded by trees, plants, and herb.<br />Welcome to LA, have a pleasant stay!<br /><br /><b>The space</b><br />Special Features:<br />* Super-fast Internet access (200+Mbps)<br />* The drinking water filter system in the kitchen provides a healthy 11ppm water quality (no need to buy water)<br />* The Culligan Water Softener for the water supply throughout the house takes out all the hardness out of the water for a smooth shower experience.<br />* Street parking permit is provided by the host<br /><br />Private Space:<br />* Private bedroom and bathroom<br />* Access to privat",12,0.0,95.0,low
